ans,cat,id,question
1,關於我,1,自己
1,關於我,1,可以請您介紹一下自己嗎
1,關於我,1,請用四個形容詞形容自己
1,關於我,1,你是怎麼樣的一個人
1,關於我,1,你有什麼特質
1,關於我,1,你覺得你有什麼特質
1,關於我,1,你怎麼評價你自己
1,關於我,1,你的個性是什麼
1,關於我,1,簡單的自我介紹
1,關於我,1,別人怎麼描述你
1,關於我,1,你的優點是什麼
1,關於我,1,說說你的優點
1,關於我,1,你要怎麼形容你自己
1,關於我,1,你有什麼條件
2,經歷,2,經驗
2,經歷,2,有什麼樣的經驗
2,經歷,2,之前有在哪裡實習過
2,經歷,2,說說上次的實習經驗
2,經歷,2,在哪裡實習過
2,經歷,2,有什麼樣的經歷
2,經歷,2,之前實習主要負責什麼項目
2,經歷,2,在實習期間最大收穫是什麼
2,經歷,2,實習最大的成長是什麼
3,專案,3,專案
3,專案,3,做過什麼樣的專案
3,專案,3,專案內容是什麼
3,專案,3,在專案擔任的角色是什麼
3,專案,3,在專案負責的項目是什麼
3,專案,3,簡述一下專案
4,獎項,4,獎項
4,獎項,4,有參加過什麼比賽
4,獎項,4,有得過哪些獎
4,獎項,4,簡述一下這些比賽
4,獎項,4,有任何競賽經驗嗎
4,獎項,4,大學有參加過哪類型的比賽
5,論文,5,論文
5,論文,5,論文是做什麼題目
5,論文,5,簡述一下論文
5,論文,5,為什麼想做這個題目
5,論文,5,論文是什麼相關的
6,證照,6,證照
6,證照,6,有什麼樣的證照
6,證照,6,有沒有語言證照
6,證照,6,簡述一下證照內容
6,證照,6,你有哪些電腦證照
6,證照,6,大學時期有考哪些證照
6,證照,6,這些證照都是哪時候考取的
6,證照,6,有沒有專業的資訊證照
7,興趣,7,興趣
7,興趣,7,請問你有什麼興趣
7,興趣,7,平常休閒會做什麼事
7,興趣,7,你喜歡什麼樣的活動
7,興趣,7,下班時間都在幹嘛
7,興趣,7,你喜歡戶外活動還室內活動
7,興趣,7,有什麼樣的興趣
7,興趣,7,壓力大時，會做哪些事
7,興趣,7,喜歡做哪些活動
7,興趣,7,有參加哪些社團
